app,import_time,exec_time,e2e_latency,billed_duration,memory,cost
chdb-olap,0.85,0.09,1.77,1.41,288.92,0.66
dna-visualization,0.1,0.03,0.63,0.26,44.44,0.05
epub-pdf,0.61,1.45,2.56,2.21,143.35,0.51
ffmpeg,0.06,2.51,3.09,2.74,297.0,1.32
huggingface,2.94,0.56,5.83,5.49,808.18,7.19
igraph,0.05,0.01,0.56,0.21,36.83,0.04
image-resize,0.4,0.32,1.25,0.89,95.83,0.18
jsym,0.5,0.32,1.37,0.98,81.49,0.2
lightgbm,0.26,0.04,0.8,0.44,74.0,0.09
lxml,0.23,0.18,0.89,0.56,57.89,0.12
markdown,0.04,0.03,0.55,0.21,32.64,0.04
pandas,0.55,0.01,1.11,0.73,95.35,0.15
qiskit-nature,1.5,0.67,2.82,2.43,230.22,0.91
resnet,3.35,2.24,6.18,5.8,736.0,6.92
scikit,0.24,0.0,1.97,1.57,159.66,0.41
shapely-numpy,0.19,0.01,0.74,0.36,51.85,0.07
skimage,0.57,0.1,1.22,0.83,100.25,0.17
spacy,1.39,0.02,1.93,1.58,161.23,0.41
tensorflow,3.91,0.07,4.81,4.19,524.46,3.56
textblob,0.41,0.37,1.27,0.93,93.0,0.19
wine,1.7,0.3,2.58,2.22,240.04,0.86
