app,import_time,exec_time,e2e_latency,billed_duration,memory,cost
chdb-olap,1.08,0.08,1.84,1.49,293.66,0.71
dna-visualization,0.18,0.02,0.72,0.37,57.01,0.08
epub-pdf,0.62,1.43,2.54,2.2,143.68,0.51
ffmpeg,0.06,2.5,3.08,2.73,297.0,1.31
huggingface,3.17,0.52,6.07,5.73,823.94,7.66
igraph,0.09,0.01,0.59,0.26,40.0,0.05
image-resize,0.38,0.31,1.2,0.85,95.23,0.18
jsym,0.56,0.31,1.36,1.02,83.58,0.21
lightgbm,0.57,0.04,1.14,0.79,120.22,0.16
lxml,0.25,0.39,1.12,0.79,58.01,0.16
markdown,0.04,0.03,0.55,0.21,32.25,0.04
pandas,0.67,0.05,1.25,0.88,106.03,0.18
qiskit-nature,1.96,0.49,3.05,2.7,281.15,1.23
resnet,6.72,6.11,12.76,10.24,736.95,12.23
scikit,0.3,0.0,1.93,1.59,177.01,0.46
shapely-numpy,0.2,0.01,0.71,0.38,58.42,0.08
skimage,0.97,0.34,1.84,1.49,173.0,0.42
spacy,2.07,0.02,2.63,2.27,202.0,0.74
tensorflow,4.59,0.15,5.5,4.91,582.86,4.64
textblob,0.42,0.38,1.28,0.95,104.0,0.2
wine,1.98,0.29,2.83,2.49,271.01,1.09
