apps,original,debloated
chdb-olap,0.04088455985053333,0.03943730637233132
dna-visualization,0.0031502199854545453,0.0036679208080808083
epub-pdf,0.3146489762391596,0.31151665509171955
ffmpeg,1.08454811616,1.0537247108999999
huggingface,0.27299631119733336,0.2769137498507212
igraph,0.0018360563587878785,0.0017920413090909092
image-resize,0.13974359087838384,0.14045831144727272
jsym,0.003514916111515151,0.003393350736161616
lightgbm,0.0014692642779797979,0.0013791382238383838
lxml,0.007723593244444444,0.008645813333333332
markdown,0.0050449630771717165,0.004969508706262626
pandas,0.007773896158383838,0.0014797440517171716
qiskit-nature,0.04046680299257575,0.035199639892793934
resnet,0.18922080868489696,0.17233987911111112
scikit,0.0006608525669212122,0.0005371110010525252
shapely-numpy,0.0004359585874747475,0.000431766677979798
skimage,0.06286254696549999,0.046616129538585856
spacy,0.002804911440808081,0.0021754278706977823
tensorflow,0.002669976243577,0.0019793425868560974
textblob,0.06807870615272726,0.06770562620767676
wine,0.0593363922791303,0.05022411075359201
